Date/Time,Unit,Value,
19/05/22 0:02:01,%RH,86,737
19/05/22 1:02:01,%RH,86,463
19/05/22 2:02:01,%RH,86,327
19/05/22 3:02:01,%RH,86,327
19/05/22 4:02:01,%RH,87,556
19/05/22 5:02:01,%RH,86,6
19/05/22 6:02:01,%RH,86,463
19/05/22 7:02:01,%RH,87,1
19/05/22 8:02:01,%RH,84,952
19/05/22 9:02:01,%RH,85,9
19/05/22 10:02:01,%RH,83,567
19/05/22 11:02:01,%RH,79,92
19/05/22 12:02:01,%RH,80,61
19/05/22 13:02:01,%RH,77,499
19/05/22 14:02:01,%RH,75,629
19/05/22 15:02:01,%RH,74,615
19/05/22 16:02:01,%RH,73,887
19/05/22 17:02:01,%RH,72,865
19/05/22 18:02:01,%RH,73,304
19/05/22 19:02:01,%RH,72,865
19/05/22 20:02:01,%RH,73,596
19/05/22 21:02:01,%RH,74,33
19/05/22 22:02:01,%RH,74,469
19/05/22 23:02:01,%RH,75,484
20/05/22 0:02:01,%RH,77,356
20/05/22 1:02:01,%RH,76,494
20/05/22 2:02:01,%RH,77,785
20/05/22 3:02:01,%RH,78,784
20/05/22 4:02:01,%RH,78,784
20/05/22 5:02:01,%RH,80,344
20/05/22 6:02:01,%RH,80,626
20/05/22 7:02:01,%RH,80,767
20/05/22 8:02:01,%RH,80,626
20/05/22 9:02:01,%RH,79,92
20/05/22 10:02:01,%RH,78,357
20/05/22 11:02:01,%RH,75,484
20/05/22 12:02:01,%RH,74,179
20/05/22 13:02:01,%RH,72,279
20/05/22 14:02:01,%RH,70,51
20/05/22 15:02:01,%RH,70,214
20/05/22 16:02:01,%RH,69,174
20/05/22 17:02:01,%RH,69,25
20/05/22 18:02:01,%RH,69,769
20/05/22 19:02:01,%RH,70,362
20/05/22 20:02:01,%RH,70,362
20/05/22 21:02:01,%RH,70,658
20/05/22 22:02:01,%RH,70,806
20/05/22 23:02:01,%RH,70,806
21/05/22 0:02:01,%RH,71,101
21/05/22 1:02:01,%RH,70,51
21/05/22 2:02:01,%RH,69,769
21/05/22 3:02:01,%RH,69,174
21/05/22 4:02:01,%RH,68,876
21/05/22 5:02:01,%RH,68,279
21/05/22 6:02:01,%RH,67,531
21/05/22 7:02:01,%RH,68,727
21/05/22 8:02:01,%RH,69,25
21/05/22 9:02:01,%RH,69,62
21/05/22 10:02:01,%RH,68,727
21/05/22 11:02:01,%RH,69,472
21/05/22 12:02:01,%RH,69,62
21/05/22 13:02:01,%RH,68,876
21/05/22 14:02:01,%RH,70,214
21/05/22 15:02:01,%RH,69,769
21/05/22 16:02:01,%RH,70,953
21/05/22 17:02:01,%RH,71,101
21/05/22 18:02:01,%RH,71,543
21/05/22 19:02:01,%RH,72,572
21/05/22 20:02:01,%RH,73,45
21/05/22 21:02:01,%RH,75,5
21/05/22 22:02:01,%RH,76,62
21/05/22 23:02:01,%RH,76,494
22/05/22 0:02:01,%RH,77,69
22/05/22 1:02:01,%RH,76,925
22/05/22 2:02:01,%RH,76,638
22/05/22 3:02:01,%RH,77,785
22/05/22 4:02:01,%RH,77,928
22/05/22 5:02:01,%RH,78,357
22/05/22 6:02:01,%RH,78,357
22/05/22 7:02:01,%RH,77,785
22/05/22 8:02:01,%RH,78,499
22/05/22 9:02:01,%RH,77,785
22/05/22 10:02:01,%RH,78,71
22/05/22 11:02:01,%RH,77,785
22/05/22 12:02:01,%RH,76,35
22/05/22 13:02:01,%RH,76,206
22/05/22 14:02:01,%RH,75,34
22/05/22 15:02:01,%RH,75,34
22/05/22 16:02:01,%RH,74,33
22/05/22 17:02:01,%RH,73,45
22/05/22 18:02:01,%RH,74,905
22/05/22 19:02:01,%RH,74,76
22/05/22 20:02:01,%RH,75,5
22/05/22 21:02:01,%RH,75,773
22/05/22 22:02:01,%RH,76,782
22/05/22 23:02:01,%RH,77,213
23/05/22 0:02:01,%RH,77,642
23/05/22 1:02:01,%RH,77,928
23/05/22 2:02:01,%RH,78,642
23/05/22 3:02:01,%RH,79,637
23/05/22 4:02:01,%RH,79,92
23/05/22 5:02:01,%RH,80,908
23/05/22 6:02:01,%RH,81,752
23/05/22 7:02:01,%RH,81,33
23/05/22 8:02:01,%RH,81,33
23/05/22 9:02:01,%RH,80,203
23/05/22 10:02:01,%RH,80,344
23/05/22 11:02:01,%RH,79,778
23/05/22 12:02:01,%RH,79,637
23/05/22 13:02:01,%RH,78,784
23/05/22 14:02:01,%RH,78,357
23/05/22 15:02:01,%RH,76,782
23/05/22 16:02:01,%RH,75,195
23/05/22 17:02:01,%RH,74,905
23/05/22 18:02:01,%RH,75,5
23/05/22 19:02:01,%RH,74,615
23/05/22 20:02:01,%RH,74,905
23/05/22 21:02:01,%RH,74,905
23/05/22 22:02:01,%RH,74,615
23/05/22 23:02:01,%RH,75,918
24/05/22 0:02:01,%RH,76,62
24/05/22 1:02:01,%RH,76,206
24/05/22 2:02:01,%RH,77,69
24/05/22 3:02:01,%RH,77,356
24/05/22 4:02:01,%RH,77,499
24/05/22 5:02:01,%RH,78,357
24/05/22 6:02:01,%RH,78,357
24/05/22 7:02:01,%RH,77,499
24/05/22 8:02:01,%RH,77,785
24/05/22 9:02:01,%RH,77,69
24/05/22 10:02:01,%RH,77,499
24/05/22 11:02:01,%RH,75,629
24/05/22 12:02:01,%RH,74,905
24/05/22 13:02:01,%RH,74,33
24/05/22 14:02:01,%RH,72,572
24/05/22 15:02:01,%RH,71,543
24/05/22 16:02:01,%RH,72,279
24/05/22 17:02:01,%RH,70,214
24/05/22 18:02:01,%RH,71,396
24/05/22 19:02:01,%RH,72,132
24/05/22 20:02:01,%RH,72,425
24/05/22 21:02:01,%RH,73,596
24/05/22 22:02:01,%RH,74,905
24/05/22 23:02:01,%RH,74,469
25/05/22 0:02:01,%RH,75,5
25/05/22 1:02:01,%RH,75,773
25/05/22 2:02:01,%RH,76,35
25/05/22 3:02:01,%RH,76,35
25/05/22 4:02:01,%RH,77,356
25/05/22 5:02:01,%RH,78,784
25/05/22 6:02:01,%RH,77,213
25/05/22 7:02:01,%RH,76,782
25/05/22 8:02:01,%RH,77,642
25/05/22 9:02:01,%RH,76,782
25/05/22 10:02:01,%RH,76,35
25/05/22 11:02:01,%RH,73,45
25/05/22 12:02:01,%RH,72,132
25/05/22 13:02:01,%RH,71,691
25/05/22 14:02:01,%RH,70,362
25/05/22 15:02:01,%RH,69,323
25/05/22 16:02:01,%RH,69,323
25/05/22 17:02:01,%RH,69,323
25/05/22 18:02:01,%RH,70,66
25/05/22 19:02:01,%RH,69,769
25/05/22 20:02:01,%RH,70,658
25/05/22 21:02:01,%RH,70,658
25/05/22 22:02:01,%RH,71,543
25/05/22 23:02:01,%RH,71,985
26/05/22 0:02:01,%RH,72,572
26/05/22 1:02:01,%RH,73,11
26/05/22 2:02:01,%RH,72,865
26/05/22 3:02:01,%RH,72,719
26/05/22 4:02:01,%RH,73,158
26/05/22 5:02:01,%RH,72,279
26/05/22 6:02:01,%RH,71,985
26/05/22 7:02:01,%RH,71,396
26/05/22 8:02:01,%RH,70,806
26/05/22 9:02:01,%RH,69,323
26/05/22 10:02:01,%RH,68,727
26/05/22 11:02:01,%RH,67,23
26/05/22 12:02:01,%RH,68,13
26/05/22 13:02:01,%RH,66,93
26/05/22 14:02:01,%RH,66,26
26/05/22 15:02:01,%RH,65,573
26/05/22 16:02:01,%RH,64,663
