Date/Time,Unit,Value,
12/5/2022 6:51,%RH,89,9
12/5/2022 7:51,%RH,89,81
12/5/2022 8:51,%RH,91,271
12/5/2022 9:51,%RH,88,875
12/5/2022 10:51,%RH,83,462
12/5/2022 11:51,%RH,76,942
12/5/2022 12:51,%RH,75,815
12/5/2022 13:51,%RH,75,25
12/5/2022 14:51,%RH,73,119
12/5/2022 15:51,%RH,67,206
12/5/2022 16:51,%RH,59,819
12/5/2022 17:51,%RH,58,919
12/5/2022 18:51,%RH,71,976
12/5/2022 19:51,%RH,73,119
12/5/2022 20:51,%RH,73,262
12/5/2022 21:51,%RH,81,951
12/5/2022 22:51,%RH,78,483
12/5/2022 23:51,%RH,83,188
13/05/22 0:51:01,%RH,84,8
13/05/22 1:51:01,%RH,84,963
13/05/22 2:51:01,%RH,84,145
13/05/22 3:51:01,%RH,84,418
13/05/22 4:51:01,%RH,85,235
13/05/22 5:51:01,%RH,81,675
13/05/22 6:51:01,%RH,83,325
13/05/22 7:51:01,%RH,84,963
13/05/22 8:51:01,%RH,79,41
13/05/22 9:51:01,%RH,78,902
13/05/22 10:51:01,%RH,76,942
13/05/22 11:51:01,%RH,68,225
13/05/22 12:51:01,%RH,67,789
13/05/22 13:51:01,%RH,62,352
13/05/22 14:51:01,%RH,56,507
13/05/22 15:51:01,%RH,57,112
13/05/22 16:51:01,%RH,56,809
13/05/22 17:51:01,%RH,54,75
13/05/22 18:51:01,%RH,58,769
13/05/22 19:51:01,%RH,62,649
13/05/22 20:51:01,%RH,66,768
13/05/22 21:51:01,%RH,66,914
13/05/22 22:51:01,%RH,67,498
13/05/22 23:51:01,%RH,67,206
14/05/22 0:51:01,%RH,71,258
14/05/22 1:51:01,%RH,76,52
14/05/22 2:51:01,%RH,75,956
14/05/22 3:51:01,%RH,75,108
14/05/22 4:51:01,%RH,76,661
14/05/22 5:51:01,%RH,75,674
14/05/22 6:51:01,%RH,86,59
14/05/22 7:51:01,%RH,86,184
14/05/22 8:51:01,%RH,86,59
14/05/22 9:51:01,%RH,89,677
14/05/22 10:51:01,%RH,91,6
14/05/22 11:51:01,%RH,90,873
14/05/22 12:51:01,%RH,84,145
14/05/22 13:51:01,%RH,77,784
14/05/22 14:51:01,%RH,78,204
14/05/22 15:51:01,%RH,69,529
14/05/22 16:51:01,%RH,59,819
14/05/22 17:51:01,%RH,62,204
14/05/22 18:51:01,%RH,64,716
14/05/22 19:51:01,%RH,74,4
14/05/22 20:51:01,%RH,82,776
14/05/22 21:51:01,%RH,85,99
14/05/22 22:51:01,%RH,85,913
14/05/22 23:51:01,%RH,85,506
15/05/22 0:51:01,%RH,85,913
15/05/22 1:51:01,%RH,88,473
15/05/22 2:51:01,%RH,87,129
15/05/22 3:51:01,%RH,85,506
15/05/22 4:51:01,%RH,86,184
15/05/22 5:51:01,%RH,90,741
15/05/22 6:51:01,%RH,90,342
15/05/22 7:51:01,%RH,88,741
15/05/22 8:51:01,%RH,89,81
15/05/22 9:51:01,%RH,88,205
15/05/22 10:51:01,%RH,83,462
15/05/22 11:51:01,%RH,79,598
15/05/22 12:51:01,%RH,77,644
15/05/22 13:51:01,%RH,77,924
15/05/22 14:51:01,%RH,83,5
15/05/22 15:51:01,%RH,80,708
15/05/22 16:51:01,%RH,79,41
15/05/22 17:51:01,%RH,87,399
15/05/22 18:51:01,%RH,87,668
15/05/22 19:51:01,%RH,89,276
15/05/22 20:51:01,%RH,91,536
15/05/22 21:51:01,%RH,92,328
15/05/22 22:51:01,%RH,90,342
15/05/22 23:51:01,%RH,92,459
