Date/Time,Unit,Value,
12/5/2022 6:53,C,11,58
12/5/2022 7:53,C,13,88
12/5/2022 8:53,C,23,896
12/5/2022 9:53,C,24,959
12/5/2022 10:53,C,29,894
12/5/2022 11:53,C,38,75
12/5/2022 12:53,C,31,392
12/5/2022 13:53,C,40,182
12/5/2022 14:53,C,43,233
12/5/2022 15:53,C,41,926
12/5/2022 16:53,C,39,186
12/5/2022 17:53,C,23,333
12/5/2022 18:53,C,20,143
12/5/2022 19:53,C,15,634
12/5/2022 20:53,C,10,493
12/5/2022 21:53,C,12,5
12/5/2022 22:53,C,8,925
12/5/2022 23:53,C,11,497
13/05/22 0:53:01,C,11,372
13/05/22 1:53:01,C,11,999
13/05/22 2:53:01,C,11,58
13/05/22 3:53:01,C,8,988
13/05/22 4:53:01,C,10,619
13/05/22 5:53:01,C,11,58
13/05/22 6:53:01,C,11,873
13/05/22 7:53:01,C,17,764
13/05/22 8:53:01,C,25,146
13/05/22 9:53:01,C,32,141
13/05/22 10:53:01,C,39,933
13/05/22 11:53:01,C,45,99
13/05/22 12:53:01,C,43,606
13/05/22 13:53:01,C,45,845
13/05/22 14:53:01,C,44,415
13/05/22 15:53:01,C,41,863
13/05/22 16:53:01,C,39,684
13/05/22 17:53:01,C,27,459
13/05/22 18:53:01,C,23,709
13/05/22 19:53:01,C,20,268
13/05/22 20:53:01,C,14,945
13/05/22 21:53:01,C,15,885
13/05/22 22:53:01,C,16,73
13/05/22 23:53:01,C,15,8
14/05/22 0:53:01,C,15,384
14/05/22 1:53:01,C,15,8
14/05/22 2:53:01,C,14,945
14/05/22 3:53:01,C,15,572
14/05/22 4:53:01,C,15,634
14/05/22 5:53:01,C,16,73
14/05/22 6:53:01,C,14,5
14/05/22 7:53:01,C,13,817
14/05/22 8:53:01,C,15,133
14/05/22 9:53:01,C,14,757
14/05/22 10:53:01,C,16,1
14/05/22 11:53:01,C,30,706
14/05/22 12:53:01,C,38,625
14/05/22 13:53:01,C,38,75
14/05/22 14:53:01,C,44,788
14/05/22 15:53:01,C,42,61
14/05/22 16:53:01,C,38,127
14/05/22 17:53:01,C,26,896
14/05/22 18:53:01,C,21,269
14/05/22 19:53:01,C,19,204
14/05/22 20:53:01,C,16,637
14/05/22 21:53:01,C,16,637
14/05/22 22:53:01,C,16,386
14/05/22 23:53:01,C,16,136
15/05/22 0:53:01,C,15,885
15/05/22 1:53:01,C,15,258
15/05/22 2:53:01,C,14,444
15/05/22 3:53:01,C,14,757
15/05/22 4:53:01,C,14,82
15/05/22 5:53:01,C,14,506
15/05/22 6:53:01,C,14,632
15/05/22 7:53:01,C,15,76
15/05/22 8:53:01,C,15,384
15/05/22 9:53:01,C,24,21
15/05/22 10:53:01,C,27,271
15/05/22 11:53:01,C,28,958
15/05/22 12:53:01,C,33,202
15/05/22 13:53:01,C,28,146
15/05/22 14:53:01,C,26,84
15/05/22 15:53:01,C,27,708
15/05/22 16:53:01,C,26,396
15/05/22 17:53:01,C,20,205
15/05/22 18:53:01,C,18,891
15/05/22 19:53:01,C,16,449
15/05/22 20:53:01,C,15,384
