Date/Time,Unit,Value,
12/5/2022 6:52,%RH,92,9
12/5/2022 7:52,%RH,86,804
12/5/2022 8:52,%RH,57,339
12/5/2022 9:52,%RH,59,207
12/5/2022 10:52,%RH,43,287
12/5/2022 11:52,%RH,35,67
12/5/2022 12:52,%RH,42,619
12/5/2022 13:52,%RH,32,905
12/5/2022 14:52,%RH,28,523
12/5/2022 15:52,%RH,22,808
12/5/2022 16:52,%RH,20,452
12/5/2022 17:52,%RH,40,774
12/5/2022 18:52,%RH,53,232
12/5/2022 19:52,%RH,58,431
12/5/2022 20:52,%RH,70,21
12/5/2022 21:52,%RH,71,232
12/5/2022 22:52,%RH,75,405
12/5/2022 23:52,%RH,80,724
13/05/22 0:52:01,%RH,83,49
13/05/22 1:52:01,%RH,81,549
13/05/22 2:52:01,%RH,79,896
13/05/22 3:52:01,%RH,81,822
13/05/22 4:52:01,%RH,81,959
13/05/22 5:52:01,%RH,80,34
13/05/22 6:52:01,%RH,78,924
13/05/22 7:52:01,%RH,62,284
13/05/22 8:52:01,%RH,50,827
13/05/22 9:52:01,%RH,41,95
13/05/22 10:52:01,%RH,31,511
13/05/22 11:52:01,%RH,23,889
13/05/22 12:52:01,%RH,29,53
13/05/22 13:52:01,%RH,23,889
13/05/22 14:52:01,%RH,18,81
13/05/22 15:52:01,%RH,18,993
13/05/22 16:52:01,%RH,17,709
13/05/22 17:52:01,%RH,29,933
13/05/22 18:52:01,%RH,29,582
13/05/22 19:52:01,%RH,38,915
13/05/22 20:52:01,%RH,44,119
13/05/22 21:52:01,%RH,31,161
13/05/22 22:52:01,%RH,29,757
13/05/22 23:52:01,%RH,32,383
14/05/22 0:52:01,%RH,43,952
14/05/22 1:52:01,%RH,52,913
14/05/22 2:52:01,%RH,59,362
14/05/22 3:52:01,%RH,60,905
14/05/22 4:52:01,%RH,60,597
14/05/22 5:52:01,%RH,60,751
14/05/22 6:52:01,%RH,97,884
14/05/22 7:52:01,%RH,100,545
14/05/22 8:52:01,%RH,101,38
14/05/22 9:52:01,%RH,101,261
14/05/22 10:52:01,%RH,101,617
14/05/22 11:52:01,%RH,99,463
14/05/22 12:52:01,%RH,77,525
14/05/22 13:52:01,%RH,39,931
14/05/22 14:52:01,%RH,29,229
14/05/22 15:52:01,%RH,25,323
14/05/22 16:52:01,%RH,23,889
14/05/22 17:52:01,%RH,37,895
14/05/22 18:52:01,%RH,50,2
14/05/22 19:52:01,%RH,64,107
14/05/22 20:52:01,%RH,82,232
14/05/22 21:52:01,%RH,83,49
14/05/22 22:52:01,%RH,83,456
14/05/22 23:52:01,%RH,83,185
15/05/22 0:52:01,%RH,84,535
15/05/22 1:52:01,%RH,95,54
15/05/22 2:52:01,%RH,96,532
15/05/22 3:52:01,%RH,92,646
15/05/22 4:52:01,%RH,93,154
15/05/22 5:52:01,%RH,97,639
15/05/22 6:52:01,%RH,97,271
15/05/22 7:52:01,%RH,93,533
15/05/22 8:52:01,%RH,97,148
15/05/22 9:52:01,%RH,74,55
15/05/22 10:52:01,%RH,58,431
15/05/22 11:52:01,%RH,51,149
15/05/22 12:52:01,%RH,44,782
15/05/22 13:52:01,%RH,51,471
15/05/22 14:52:01,%RH,57,339
15/05/22 15:52:01,%RH,52,113
15/05/22 16:52:01,%RH,50,2
15/05/22 17:52:01,%RH,72,537
15/05/22 18:52:01,%RH,76,821
15/05/22 19:52:01,%RH,88,254
15/05/22 20:52:01,%RH,97,884
15/05/22 21:52:01,%RH,99,222
15/05/22 22:52:01,%RH,100,425
15/05/22 23:52:01,%RH,100,665
16/05/22 0:52:01,%RH,100,425
16/05/22 1:52:01,%RH,99,945
16/05/22 2:52:01,%RH,100,186
16/05/22 3:52:01,%RH,99,945
16/05/22 4:52:01,%RH,101,142
16/05/22 5:52:01,%RH,100,306
16/05/22 6:52:01,%RH,100,784
16/05/22 7:52:01,%RH,100,545
16/05/22 8:52:01,%RH,92,646
16/05/22 9:52:01,%RH,84,131
16/05/22 10:52:01,%RH,88,778
16/05/22 11:52:01,%RH,86,804
16/05/22 12:52:01,%RH,100,66
16/05/22 13:52:01,%RH,94,38
16/05/22 14:52:01,%RH,75,689
16/05/22 15:52:01,%RH,56,555
16/05/22 16:52:01,%RH,61,978
16/05/22 17:52:01,%RH,78,365
16/05/22 18:52:01,%RH,80,448
16/05/22 19:52:01,%RH,83,49
16/05/22 20:52:01,%RH,90,208
16/05/22 21:52:01,%RH,91,753
16/05/22 22:52:01,%RH,92,646
16/05/22 23:52:01,%RH,93,786
17/05/22 0:52:01,%RH,94,289
17/05/22 1:52:01,%RH,97,517
17/05/22 2:52:01,%RH,99,825
17/05/22 3:52:01,%RH,100,545
17/05/22 4:52:01,%RH,100,784
17/05/22 5:52:01,%RH,100,784
17/05/22 6:52:01,%RH,101,617
17/05/22 7:52:01,%RH,101,38
17/05/22 8:52:01,%RH,100,904
17/05/22 9:52:01,%RH,98,858
17/05/22 10:52:01,%RH,91,881
17/05/22 11:52:01,%RH,84,401
17/05/22 12:52:01,%RH,92,9
17/05/22 13:52:01,%RH,78,924
17/05/22 14:52:01,%RH,66,63
17/05/22 15:52:01,%RH,70,648
17/05/22 16:52:01,%RH,61,366
17/05/22 17:52:01,%RH,66,661
17/05/22 18:52:01,%RH,74,835
17/05/22 19:52:01,%RH,79,63
17/05/22 20:52:01,%RH,88,254
17/05/22 21:52:01,%RH,90,596
17/05/22 22:52:01,%RH,93,28
17/05/22 23:52:01,%RH,95,166
18/05/22 0:52:01,%RH,97,271
18/05/22 1:52:01,%RH,96,779
18/05/22 2:52:01,%RH,98,25
18/05/22 3:52:01,%RH,98,494
18/05/22 4:52:01,%RH,98,858
18/05/22 5:52:01,%RH,99,222
18/05/22 6:52:01,%RH,100,425
18/05/22 7:52:01,%RH,99,584
18/05/22 8:52:01,%RH,100,66
18/05/22 9:52:01,%RH,98,372
18/05/22 10:52:01,%RH,97,517
18/05/22 11:52:01,%RH,94,54
18/05/22 12:52:01,%RH,94,54
18/05/22 13:52:01,%RH,75,547
18/05/22 14:52:01,%RH,72,103
18/05/22 15:52:01,%RH,58,119
18/05/22 16:52:01,%RH,42,452
18/05/22 17:52:01,%RH,55,295
18/05/22 18:52:01,%RH,64,107
18/05/22 19:52:01,%RH,70,94
18/05/22 20:52:01,%RH,81,959
18/05/22 21:52:01,%RH,86,671
18/05/22 22:52:01,%RH,92,136
18/05/22 23:52:01,%RH,95,166
19/05/22 0:52:01,%RH,97,394
19/05/22 1:52:01,%RH,98,98
19/05/22 2:52:01,%RH,97,517
19/05/22 3:52:01,%RH,101,38
19/05/22 4:52:01,%RH,101,23
19/05/22 5:52:01,%RH,101,23
19/05/22 6:52:01,%RH,102,209
19/05/22 7:52:01,%RH,100,784
19/05/22 8:52:01,%RH,91,497
19/05/22 9:52:01,%RH,58,742
19/05/22 10:52:01,%RH,47,252
19/05/22 11:52:01,%RH,40,437
19/05/22 12:52:01,%RH,42,285
19/05/22 13:52:01,%RH,33,425
19/05/22 14:52:01,%RH,29,53
19/05/22 15:52:01,%RH,24,248
