Date/Time,Unit,Value,
12/5/2022 6:51,C,14,203
12/5/2022 7:51,C,14,328
12/5/2022 8:51,C,15,77
12/5/2022 9:51,C,16,71
12/5/2022 10:51,C,17,586
12/5/2022 11:51,C,19,59
12/5/2022 12:51,C,19,903
12/5/2022 13:51,C,20,967
12/5/2022 14:51,C,22,3
12/5/2022 15:51,C,22,656
12/5/2022 16:51,C,23,93
12/5/2022 17:51,C,23,781
12/5/2022 18:51,C,21,92
12/5/2022 19:51,C,19,965
12/5/2022 20:51,C,17,962
12/5/2022 21:51,C,17,837
12/5/2022 22:51,C,16,459
12/5/2022 23:51,C,16,271
13/05/22 0:51:01,C,16,396
13/05/22 1:51:01,C,16,334
13/05/22 2:51:01,C,15,707
13/05/22 3:51:01,C,14,955
13/05/22 4:51:01,C,14,579
13/05/22 5:51:01,C,14,15
13/05/22 6:51:01,C,13,827
13/05/22 7:51:01,C,14,328
13/05/22 8:51:01,C,15,707
13/05/22 9:51:01,C,17,23
13/05/22 10:51:01,C,19,59
13/05/22 11:51:01,C,21,53
13/05/22 12:51:01,C,22,155
13/05/22 13:51:01,C,22,843
13/05/22 14:51:01,C,23,469
13/05/22 15:51:01,C,23,719
13/05/22 16:51:01,C,24,656
13/05/22 17:51:01,C,25,281
13/05/22 18:51:01,C,22,343
13/05/22 19:51:01,C,21,92
13/05/22 20:51:01,C,19,84
13/05/22 21:51:01,C,18,901
13/05/22 22:51:01,C,18,401
13/05/22 23:51:01,C,18,25
14/05/22 0:51:01,C,18,25
14/05/22 1:51:01,C,17,9
14/05/22 2:51:01,C,17,336
14/05/22 3:51:01,C,17,23
14/05/22 4:51:01,C,16,898
14/05/22 5:51:01,C,16,71
14/05/22 6:51:01,C,16,83
14/05/22 7:51:01,C,16,146
14/05/22 8:51:01,C,16,271
14/05/22 9:51:01,C,15,958
14/05/22 10:51:01,C,16,459
14/05/22 11:51:01,C,19,84
14/05/22 12:51:01,C,22,3
14/05/22 13:51:01,C,23,406
14/05/22 14:51:01,C,24,594
14/05/22 15:51:01,C,25,719
14/05/22 16:51:01,C,24,781
14/05/22 17:51:01,C,23,31
14/05/22 18:51:01,C,20,904
14/05/22 19:51:01,C,19,715
14/05/22 20:51:01,C,18,15
14/05/22 21:51:01,C,17,649
14/05/22 22:51:01,C,17,336
14/05/22 23:51:01,C,17,85
15/05/22 0:51:01,C,16,835
15/05/22 1:51:01,C,16,71
15/05/22 2:51:01,C,15,958
15/05/22 3:51:01,C,15,895
15/05/22 4:51:01,C,15,833
15/05/22 5:51:01,C,15,833
15/05/22 6:51:01,C,15,582
15/05/22 7:51:01,C,15,707
15/05/22 8:51:01,C,15,77
15/05/22 9:51:01,C,16,835
15/05/22 10:51:01,C,17,962
15/05/22 11:51:01,C,18,964
15/05/22 12:51:01,C,19,653
15/05/22 13:51:01,C,19,527
15/05/22 14:51:01,C,18,901
15/05/22 15:51:01,C,19,527
15/05/22 16:51:01,C,19,965
15/05/22 17:51:01,C,17,962
15/05/22 18:51:01,C,17,649
15/05/22 19:51:01,C,17,148
15/05/22 20:51:01,C,16,71
15/05/22 21:51:01,C,16,522
15/05/22 22:51:01,C,16,208
15/05/22 23:51:01,C,16,271
16/05/22 0:51:01,C,16,146
16/05/22 1:51:01,C,15,895
16/05/22 2:51:01,C,15,77
16/05/22 3:51:01,C,15,707
16/05/22 4:51:01,C,15,645
16/05/22 5:51:01,C,15,645
16/05/22 6:51:01,C,15,394
16/05/22 7:51:01,C,15,582
16/05/22 8:51:01,C,16,208
16/05/22 9:51:01,C,16,96
16/05/22 10:51:01,C,17,586
16/05/22 11:51:01,C,17,524
16/05/22 12:51:01,C,17,586
16/05/22 13:51:01,C,18,401
16/05/22 14:51:01,C,19,527
16/05/22 15:51:01,C,20,716
16/05/22 16:51:01,C,20,153
16/05/22 17:51:01,C,18,213
16/05/22 18:51:01,C,17,9
16/05/22 19:51:01,C,17,962
16/05/22 20:51:01,C,17,399
16/05/22 21:51:01,C,17,273
16/05/22 22:51:01,C,17,211
16/05/22 23:51:01,C,17,85
17/05/22 0:51:01,C,17,23
17/05/22 1:51:01,C,16,898
17/05/22 2:51:01,C,16,835
17/05/22 3:51:01,C,16,835
17/05/22 4:51:01,C,16,647
17/05/22 5:51:01,C,16,647
17/05/22 6:51:01,C,16,584
17/05/22 7:51:01,C,16,71
17/05/22 8:51:01,C,16,584
17/05/22 9:51:01,C,17,148
17/05/22 10:51:01,C,18,588
17/05/22 11:51:01,C,18,588
17/05/22 12:51:01,C,18,25
17/05/22 13:51:01,C,19,27
17/05/22 14:51:01,C,19,653
17/05/22 15:51:01,C,19,152
17/05/22 16:51:01,C,20,91
17/05/22 17:51:01,C,19,715
17/05/22 18:51:01,C,19,152
17/05/22 19:51:01,C,18,776
17/05/22 20:51:01,C,18,25
17/05/22 21:51:01,C,17,962
17/05/22 22:51:01,C,17,586
17/05/22 23:51:01,C,17,211
