Date/Time,Unit,Value,
12/5/2022 6:50,C,17,774
12/5/2022 7:50,C,17,523
12/5/2022 8:50,C,17,398
12/5/2022 9:50,C,17,398
12/5/2022 10:50,C,17,523
12/5/2022 11:50,C,17,836
12/5/2022 12:50,C,18,337
12/5/2022 13:50,C,18,963
12/5/2022 14:50,C,19,589
12/5/2022 15:50,C,20,214
12/5/2022 16:50,C,20,902
12/5/2022 17:50,C,21,465
12/5/2022 18:50,C,21,653
12/5/2022 19:50,C,21,465
12/5/2022 20:50,C,21,9
12/5/2022 21:50,C,20,59
12/5/2022 22:50,C,20,89
12/5/2022 23:50,C,19,589
13/05/22 0:50:01,C,19,213
13/05/22 1:50:01,C,18,838
13/05/22 2:50:01,C,18,587
13/05/22 3:50:01,C,18,274
13/05/22 4:50:01,C,18,87
13/05/22 5:50:01,C,17,836
13/05/22 6:50:01,C,17,648
13/05/22 7:50:01,C,17,461
13/05/22 8:50:01,C,17,273
13/05/22 9:50:01,C,17,273
13/05/22 10:50:01,C,17,523
13/05/22 11:50:01,C,18,24
13/05/22 12:50:01,C,18,712
13/05/22 13:50:01,C,19,526
13/05/22 14:50:01,C,20,402
13/05/22 15:50:01,C,21,153
13/05/22 16:50:01,C,21,841
13/05/22 17:50:01,C,22,278
13/05/22 18:50:01,C,22,466
13/05/22 19:50:01,C,22,278
13/05/22 20:50:01,C,21,903
13/05/22 21:50:01,C,21,465
13/05/22 22:50:01,C,20,965
13/05/22 23:50:01,C,20,464
14/05/22 0:50:01,C,20,89
14/05/22 1:50:01,C,19,714
14/05/22 2:50:01,C,19,401
14/05/22 3:50:01,C,19,151
14/05/22 4:50:01,C,18,963
14/05/22 5:50:01,C,18,712
14/05/22 6:50:01,C,18,587
14/05/22 7:50:01,C,18,462
14/05/22 8:50:01,C,18,274
14/05/22 9:50:01,C,18,149
14/05/22 10:50:01,C,17,961
14/05/22 11:50:01,C,17,899
14/05/22 12:50:01,C,18,87
14/05/22 13:50:01,C,18,65
14/05/22 14:50:01,C,19,401
14/05/22 15:50:01,C,20,89
14/05/22 16:50:01,C,20,84
14/05/22 17:50:01,C,21,34
14/05/22 18:50:01,C,21,465
14/05/22 19:50:01,C,21,278
14/05/22 20:50:01,C,20,965
14/05/22 21:50:01,C,20,59
14/05/22 22:50:01,C,20,214
14/05/22 23:50:01,C,19,964
15/05/22 0:50:01,C,19,651
15/05/22 1:50:01,C,19,401
15/05/22 2:50:01,C,19,213
15/05/22 3:50:01,C,18,963
15/05/22 4:50:01,C,18,775
15/05/22 5:50:01,C,18,587
15/05/22 6:50:01,C,18,462
15/05/22 7:50:01,C,18,337
15/05/22 8:50:01,C,18,212
15/05/22 9:50:01,C,18,87
15/05/22 10:50:01,C,18,149
15/05/22 11:50:01,C,18,337
15/05/22 12:50:01,C,18,65
15/05/22 13:50:01,C,19,151
15/05/22 14:50:01,C,19,526
15/05/22 15:50:01,C,19,839
15/05/22 16:50:01,C,20,27
15/05/22 17:50:01,C,20,277
15/05/22 18:50:01,C,20,277
15/05/22 19:50:01,C,20,89
15/05/22 20:50:01,C,19,901
15/05/22 21:50:01,C,19,651
15/05/22 22:50:01,C,19,338
15/05/22 23:50:01,C,19,88
16/05/22 0:50:01,C,18,9
16/05/22 1:50:01,C,18,712
16/05/22 2:50:01,C,18,525
16/05/22 3:50:01,C,18,337
16/05/22 4:50:01,C,18,212
16/05/22 5:50:01,C,18,87
16/05/22 6:50:01,C,18,24
16/05/22 7:50:01,C,17,899
16/05/22 8:50:01,C,17,836
16/05/22 9:50:01,C,17,774
16/05/22 10:50:01,C,17,836
16/05/22 11:50:01,C,18,24
16/05/22 12:50:01,C,18,149
16/05/22 13:50:01,C,18,274
16/05/22 14:50:01,C,18,462
16/05/22 15:50:01,C,18,775
16/05/22 16:50:01,C,19,151
16/05/22 17:50:01,C,19,463
16/05/22 18:50:01,C,19,526
16/05/22 19:50:01,C,19,463
16/05/22 20:50:01,C,19,338
16/05/22 21:50:01,C,19,151
16/05/22 22:50:01,C,18,963
16/05/22 23:50:01,C,18,775
17/05/22 0:50:01,C,18,65
17/05/22 1:50:01,C,18,525
17/05/22 2:50:01,C,18,4
17/05/22 3:50:01,C,18,274
17/05/22 4:50:01,C,18,212
17/05/22 5:50:01,C,18,87
17/05/22 6:50:01,C,18,24
17/05/22 7:50:01,C,17,961
17/05/22 8:50:01,C,17,899
17/05/22 9:50:01,C,17,899
17/05/22 10:50:01,C,17,899
17/05/22 11:50:01,C,18,87
17/05/22 12:50:01,C,18,337
17/05/22 13:50:01,C,18,525
17/05/22 14:50:01,C,18,65
17/05/22 15:50:01,C,18,963
17/05/22 16:50:01,C,19,151
17/05/22 17:50:01,C,19,463
17/05/22 18:50:01,C,19,651
17/05/22 19:50:01,C,19,714
17/05/22 20:50:01,C,19,589
17/05/22 21:50:01,C,19,401
17/05/22 22:50:01,C,19,151
17/05/22 23:50:01,C,18,963
18/05/22 0:50:01,C,18,838
18/05/22 1:50:01,C,18,65
18/05/22 2:50:01,C,18,525
18/05/22 3:50:01,C,18,4
18/05/22 4:50:01,C,18,274
18/05/22 5:50:01,C,18,212
18/05/22 6:50:01,C,18,87
18/05/22 7:50:01,C,18,24
18/05/22 8:50:01,C,17,961
18/05/22 9:50:01,C,17,961
18/05/22 10:50:01,C,18,24
18/05/22 11:50:01,C,18,149
18/05/22 12:50:01,C,18,274
18/05/22 13:50:01,C,18,462
18/05/22 14:50:01,C,18,65
18/05/22 15:50:01,C,18,963
18/05/22 16:50:01,C,19,213
18/05/22 17:50:01,C,19,589
18/05/22 18:50:01,C,19,901
18/05/22 19:50:01,C,19,776
18/05/22 20:50:01,C,19,526
18/05/22 21:50:01,C,19,213
18/05/22 22:50:01,C,18,838
18/05/22 23:50:01,C,18,4
19/05/22 0:50:01,C,18,24
19/05/22 1:50:01,C,17,711
19/05/22 2:50:01,C,17,398
19/05/22 3:50:01,C,17,85
19/05/22 4:50:01,C,16,772
19/05/22 5:50:01,C,16,584
19/05/22 6:50:01,C,16,396
19/05/22 7:50:01,C,16,209
19/05/22 8:50:01,C,16,83
19/05/22 9:50:01,C,16,146
19/05/22 10:50:01,C,16,459
19/05/22 11:50:01,C,17,22
19/05/22 12:50:01,C,17,774
19/05/22 13:50:01,C,18,587
19/05/22 14:50:01,C,19,463
19/05/22 15:50:01,C,20,277
19/05/22 16:50:01,C,20,965
19/05/22 17:50:01,C,21,403
19/05/22 18:50:01,C,21,528
19/05/22 19:50:01,C,21,278
19/05/22 20:50:01,C,20,902
19/05/22 21:50:01,C,20,527
19/05/22 22:50:01,C,20,27
19/05/22 23:50:01,C,19,589
20/05/22 0:50:01,C,19,151
20/05/22 1:50:01,C,18,775
20/05/22 2:50:01,C,18,462
20/05/22 3:50:01,C,18,149
20/05/22 4:50:01,C,17,899
20/05/22 5:50:01,C,17,648
20/05/22 6:50:01,C,17,461
20/05/22 7:50:01,C,17,273
20/05/22 8:50:01,C,17,148
20/05/22 9:50:01,C,17,21
20/05/22 10:50:01,C,17,461
20/05/22 11:50:01,C,17,961
20/05/22 12:50:01,C,18,65
20/05/22 13:50:01,C,19,526
20/05/22 14:50:01,C,20,464
20/05/22 15:50:01,C,21,34
20/05/22 16:50:01,C,22,91
20/05/22 17:50:01,C,22,591
20/05/22 18:50:01,C,22,716
20/05/22 19:50:01,C,22,591
20/05/22 20:50:01,C,22,341
20/05/22 21:50:01,C,22,28
20/05/22 22:50:01,C,21,653
20/05/22 23:50:01,C,21,34
21/05/22 0:50:01,C,21,9
21/05/22 1:50:01,C,20,84
21/05/22 2:50:01,C,20,59
21/05/22 3:50:01,C,20,402
21/05/22 4:50:01,C,20,152
21/05/22 5:50:01,C,20,27
21/05/22 6:50:01,C,19,901
21/05/22 7:50:01,C,19,714
21/05/22 8:50:01,C,19,651
21/05/22 9:50:01,C,19,589
21/05/22 10:50:01,C,19,526
21/05/22 11:50:01,C,19,589
21/05/22 12:50:01,C,19,589
21/05/22 13:50:01,C,19,651
21/05/22 14:50:01,C,19,839
21/05/22 15:50:01,C,19,901
21/05/22 16:50:01,C,19,964
21/05/22 17:50:01,C,20,27
21/05/22 18:50:01,C,19,964
21/05/22 19:50:01,C,19,901
21/05/22 20:50:01,C,19,776
21/05/22 21:50:01,C,19,651
21/05/22 22:50:01,C,19,463
21/05/22 23:50:01,C,19,213
22/05/22 0:50:01,C,19,88
22/05/22 1:50:01,C,18,9
22/05/22 2:50:01,C,18,775
22/05/22 3:50:01,C,18,65
22/05/22 4:50:01,C,18,525
22/05/22 5:50:01,C,18,4
22/05/22 6:50:01,C,18,274
22/05/22 7:50:01,C,18,212
22/05/22 8:50:01,C,18,149
22/05/22 9:50:01,C,18,149
22/05/22 10:50:01,C,18,149
22/05/22 11:50:01,C,18,337
22/05/22 12:50:01,C,18,65
22/05/22 13:50:01,C,19,88
22/05/22 14:50:01,C,19,651
22/05/22 15:50:01,C,20,89
22/05/22 16:50:01,C,20,464
22/05/22 17:50:01,C,20,902
22/05/22 18:50:01,C,21,9
22/05/22 19:50:01,C,20,965
22/05/22 20:50:01,C,20,777
22/05/22 21:50:01,C,20,464
22/05/22 22:50:01,C,20,214
22/05/22 23:50:01,C,19,901
23/05/22 0:50:01,C,19,714
23/05/22 1:50:01,C,19,463
23/05/22 2:50:01,C,19,276
23/05/22 3:50:01,C,19,88
23/05/22 4:50:01,C,18,9
23/05/22 5:50:01,C,18,712
23/05/22 6:50:01,C,18,462
23/05/22 7:50:01,C,18,212
23/05/22 8:50:01,C,18,24
23/05/22 9:50:01,C,18,24
23/05/22 10:50:01,C,18,149
23/05/22 11:50:01,C,18,4
23/05/22 12:50:01,C,18,587
23/05/22 13:50:01,C,18,775
23/05/22 14:50:01,C,19,25
23/05/22 15:50:01,C,19,401
23/05/22 16:50:01,C,19,839
23/05/22 17:50:01,C,20,277
23/05/22 18:50:01,C,20,464
23/05/22 19:50:01,C,20,339
23/05/22 20:50:01,C,20,89
23/05/22 21:50:01,C,19,776
23/05/22 22:50:01,C,19,338
23/05/22 23:50:01,C,18,963
24/05/22 0:50:01,C,18,587
24/05/22 1:50:01,C,18,274
24/05/22 2:50:01,C,17,899
24/05/22 3:50:01,C,17,648
24/05/22 4:50:01,C,17,398
24/05/22 5:50:01,C,17,85
24/05/22 6:50:01,C,16,835
24/05/22 7:50:01,C,16,647
24/05/22 8:50:01,C,16,522
24/05/22 9:50:01,C,16,522
24/05/22 10:50:01,C,16,647
24/05/22 11:50:01,C,16,835
24/05/22 12:50:01,C,17,21
24/05/22 13:50:01,C,17,648
24/05/22 14:50:01,C,18,149
24/05/22 15:50:01,C,18,838
24/05/22 16:50:01,C,19,526
24/05/22 17:50:01,C,20,89
24/05/22 18:50:01,C,20,277
24/05/22 19:50:01,C,20,89
24/05/22 20:50:01,C,19,714
24/05/22 21:50:01,C,19,338
24/05/22 22:50:01,C,18,9
24/05/22 23:50:01,C,18,525
25/05/22 0:50:01,C,18,149
25/05/22 1:50:01,C,17,836
25/05/22 2:50:01,C,17,523
25/05/22 3:50:01,C,17,273
25/05/22 4:50:01,C,17,85
25/05/22 5:50:01,C,16,835
25/05/22 6:50:01,C,16,647
25/05/22 7:50:01,C,16,459
25/05/22 8:50:01,C,16,334
25/05/22 9:50:01,C,16,334
25/05/22 10:50:01,C,16,522
25/05/22 11:50:01,C,16,96
25/05/22 12:50:01,C,17,586
25/05/22 13:50:01,C,18,4
25/05/22 14:50:01,C,19,338
25/05/22 15:50:01,C,20,214
25/05/22 16:50:01,C,20,965
25/05/22 17:50:01,C,21,528
25/05/22 18:50:01,C,21,653
25/05/22 19:50:01,C,21,403
25/05/22 20:50:01,C,20,965
25/05/22 21:50:01,C,20,527
25/05/22 22:50:01,C,20,89
25/05/22 23:50:01,C,19,714
26/05/22 0:50:01,C,19,338
26/05/22 1:50:01,C,19,88
26/05/22 2:50:01,C,18,775
26/05/22 3:50:01,C,18,587
26/05/22 4:50:01,C,18,337
26/05/22 5:50:01,C,18,149
26/05/22 6:50:01,C,17,899
26/05/22 7:50:01,C,17,711
26/05/22 8:50:01,C,17,586
26/05/22 9:50:01,C,17,586
26/05/22 10:50:01,C,17,774
26/05/22 11:50:01,C,18,212
26/05/22 12:50:01,C,18,838
26/05/22 13:50:01,C,19,651
26/05/22 14:50:01,C,20,527
26/05/22 15:50:01,C,21,403
26/05/22 16:50:01,C,22,153
26/05/22 17:50:01,C,22,779
26/05/22 18:50:01,C,22,966
26/05/22 19:50:01,C,22,716
26/05/22 20:50:01,C,22,341
26/05/22 21:50:01,C,21,903
26/05/22 22:50:01,C,21,403
26/05/22 23:50:01,C,21,27
