Date/Time,Unit,Value,
12/5/2022 6:53,%RH,101,966
12/5/2022 7:53,%RH,100,954
12/5/2022 8:53,%RH,95,536
12/5/2022 9:53,%RH,86,681
12/5/2022 10:53,%RH,45,937
12/5/2022 11:53,%RH,29,64
12/5/2022 12:53,%RH,39,493
12/5/2022 13:53,%RH,23,713
12/5/2022 14:53,%RH,23,537
12/5/2022 15:53,%RH,22,126
12/5/2022 16:53,%RH,23,361
12/5/2022 17:53,%RH,51,756
12/5/2022 18:53,%RH,70,104
12/5/2022 19:53,%RH,78,125
12/5/2022 20:53,%RH,90,624
12/5/2022 21:53,%RH,92,231
12/5/2022 22:53,%RH,95,143
12/5/2022 23:53,%RH,98,91
13/05/22 0:53:01,%RH,97,879
13/05/22 1:53:01,%RH,96,972
13/05/22 2:53:01,%RH,98,137
13/05/22 3:53:01,%RH,100,62
13/05/22 4:53:01,%RH,99,423
13/05/22 5:53:01,%RH,95,274
13/05/22 6:53:01,%RH,90,758
13/05/22 7:53:01,%RH,76,833
13/05/22 8:53:01,%RH,47,241
13/05/22 9:53:01,%RH,33,586
13/05/22 10:53:01,%RH,23,361
13/05/22 11:53:01,%RH,18,34
13/05/22 12:53:01,%RH,20,708
13/05/22 13:53:01,%RH,17,676
13/05/22 14:53:01,%RH,15,699
13/05/22 15:53:01,%RH,17,138
13/05/22 16:53:01,%RH,22,126
13/05/22 17:53:01,%RH,36,301
13/05/22 18:53:01,%RH,46,59
13/05/22 19:53:01,%RH,62,714
13/05/22 20:53:01,%RH,75,822
13/05/22 21:53:01,%RH,54,461
13/05/22 22:53:01,%RH,49,185
13/05/22 23:53:01,%RH,54,935
14/05/22 0:53:01,%RH,63,173
14/05/22 1:53:01,%RH,69,63
14/05/22 2:53:01,%RH,73,64
14/05/22 3:53:01,%RH,72,615
14/05/22 4:53:01,%RH,71,879
14/05/22 5:53:01,%RH,70,994
14/05/22 6:53:01,%RH,98,8
14/05/22 7:53:01,%RH,100,19
14/05/22 8:53:01,%RH,100,572
14/05/22 9:53:01,%RH,101,334
14/05/22 10:53:01,%RH,101,966
14/05/22 11:53:01,%RH,93,957
14/05/22 12:53:01,%RH,72,908
14/05/22 13:53:01,%RH,37,481
14/05/22 14:53:01,%RH,25,293
14/05/22 15:53:01,%RH,25,293
14/05/22 16:53:01,%RH,28,775
14/05/22 17:53:01,%RH,48,53
14/05/22 18:53:01,%RH,59,165
14/05/22 19:53:01,%RH,72,908
14/05/22 20:53:01,%RH,89,138
14/05/22 21:53:01,%RH,90,85
14/05/22 22:53:01,%RH,89,68
14/05/22 23:53:01,%RH,89,409
15/05/22 0:53:01,%RH,90,354
15/05/22 1:53:01,%RH,95,405
15/05/22 2:53:01,%RH,99,295
15/05/22 3:53:01,%RH,100,572
15/05/22 4:53:01,%RH,100,954
15/05/22 5:53:01,%RH,100,572
15/05/22 6:53:01,%RH,101,8
15/05/22 7:53:01,%RH,101,207
15/05/22 8:53:01,%RH,101,207
15/05/22 9:53:01,%RH,99,167
15/05/22 10:53:01,%RH,63,784
15/05/22 11:53:01,%RH,44,955
15/05/22 12:53:01,%RH,33,586
15/05/22 13:53:01,%RH,47,79
15/05/22 14:53:01,%RH,56,38
15/05/22 15:53:01,%RH,47,891
15/05/22 16:53:01,%RH,50,474
15/05/22 17:53:01,%RH,76,689
15/05/22 18:53:01,%RH,83,358
15/05/22 19:53:01,%RH,90,489
15/05/22 20:53:01,%RH,99,807
15/05/22 21:53:01,%RH,99,935
15/05/22 22:53:01,%RH,101,334
15/05/22 23:53:01,%RH,102,344
16/05/22 0:53:01,%RH,100,954
16/05/22 1:53:01,%RH,101,966
16/05/22 2:53:01,%RH,101,714
16/05/22 3:53:01,%RH,102,344
16/05/22 4:53:01,%RH,103,223
16/05/22 5:53:01,%RH,101,8
16/05/22 6:53:01,%RH,100,954
16/05/22 7:53:01,%RH,101,966
16/05/22 8:53:01,%RH,101,587
16/05/22 9:53:01,%RH,99,423
16/05/22 10:53:01,%RH,100,19
16/05/22 11:53:01,%RH,99,38
16/05/22 12:53:01,%RH,101,207
16/05/22 13:53:01,%RH,99,38
16/05/22 14:53:01,%RH,93,3
16/05/22 15:53:01,%RH,60,714
16/05/22 16:53:01,%RH,64,89
16/05/22 17:53:01,%RH,82,518
16/05/22 18:53:01,%RH,84,611
16/05/22 19:53:01,%RH,87,914
16/05/22 20:53:01,%RH,94,617
16/05/22 21:53:01,%RH,95,405
16/05/22 22:53:01,%RH,97,49
16/05/22 23:53:01,%RH,97,879
17/05/22 0:53:01,%RH,97,879
17/05/22 1:53:01,%RH,99,423
17/05/22 2:53:01,%RH,100,317
17/05/22 3:53:01,%RH,100,572
17/05/22 4:53:01,%RH,101,334
17/05/22 5:53:01,%RH,102,92
17/05/22 6:53:01,%RH,102,344
17/05/22 7:53:01,%RH,101,461
17/05/22 8:53:01,%RH,102,92
17/05/22 9:53:01,%RH,100,317
17/05/22 10:53:01,%RH,87,504
17/05/22 11:53:01,%RH,82,238
17/05/22 12:53:01,%RH,89,95
17/05/22 13:53:01,%RH,70,253
17/05/22 14:53:01,%RH,64,545
17/05/22 15:53:01,%RH,65,1
17/05/22 16:53:01,%RH,59,631
17/05/22 17:53:01,%RH,69,51
17/05/22 18:53:01,%RH,80,829
17/05/22 19:53:01,%RH,87,93
17/05/22 20:53:01,%RH,94,617
17/05/22 21:53:01,%RH,98,781
17/05/22 22:53:01,%RH,99,423
17/05/22 23:53:01,%RH,99,295
18/05/22 0:53:01,%RH,99,935
18/05/22 1:53:01,%RH,99,807
18/05/22 2:53:01,%RH,100,826
18/05/22 3:53:01,%RH,99,807
18/05/22 4:53:01,%RH,101,207
18/05/22 5:53:01,%RH,100,699
18/05/22 6:53:01,%RH,101,461
18/05/22 7:53:01,%RH,101,966
18/05/22 8:53:01,%RH,102,92
18/05/22 9:53:01,%RH,100,826
18/05/22 10:53:01,%RH,101,334
18/05/22 11:53:01,%RH,101,8
18/05/22 12:53:01,%RH,101,8
18/05/22 13:53:01,%RH,96,581
18/05/22 14:53:01,%RH,75,822
18/05/22 15:53:01,%RH,49,347
18/05/22 16:53:01,%RH,38,489
18/05/22 17:53:01,%RH,58,387
18/05/22 18:53:01,%RH,80,829
18/05/22 19:53:01,%RH,87,914
18/05/22 20:53:01,%RH,93,561
18/05/22 21:53:01,%RH,98,524
18/05/22 22:53:01,%RH,100,317
18/05/22 23:53:01,%RH,100,954
19/05/22 0:53:01,%RH,101,966
19/05/22 1:53:01,%RH,101,84
19/05/22 2:53:01,%RH,102,47
19/05/22 3:53:01,%RH,103,98
19/05/22 4:53:01,%RH,102,847
19/05/22 5:53:01,%RH,102,92
19/05/22 6:53:01,%RH,102,973
19/05/22 7:53:01,%RH,101,84
19/05/22 8:53:01,%RH,82,518
19/05/22 9:53:01,%RH,38,824
19/05/22 10:53:01,%RH,27,213
19/05/22 11:53:01,%RH,23,185
19/05/22 12:53:01,%RH,27,39
19/05/22 13:53:01,%RH,17,676
19/05/22 14:53:01,%RH,24,592
19/05/22 15:53:01,%RH,19,285
19/05/22 16:53:01,%RH,24,416
19/05/22 17:53:01,%RH,40,661
19/05/22 18:53:01,%RH,58,854
19/05/22 19:53:01,%RH,72,174
19/05/22 20:53:01,%RH,84,611
19/05/22 21:53:01,%RH,92,231
19/05/22 22:53:01,%RH,95,798
19/05/22 23:53:01,%RH,98,8
20/05/22 0:53:01,%RH,99,807
20/05/22 1:53:01,%RH,100,572
20/05/22 2:53:01,%RH,100,19
20/05/22 3:53:01,%RH,100,445
20/05/22 4:53:01,%RH,101,461
20/05/22 5:53:01,%RH,100,826
20/05/22 6:53:01,%RH,102,47
20/05/22 7:53:01,%RH,99,679
20/05/22 8:53:01,%RH,58,854
20/05/22 9:53:01,%RH,34,607
20/05/22 10:53:01,%RH,23,889
20/05/22 11:53:01,%RH,19,641
20/05/22 12:53:01,%RH,17,497
20/05/22 13:53:01,%RH,15,699
20/05/22 14:53:01,%RH,18,34
20/05/22 15:53:01,%RH,19,641
20/05/22 16:53:01,%RH,26,516
20/05/22 17:53:01,%RH,39,159
20/05/22 18:53:01,%RH,53,191
20/05/22 19:53:01,%RH,60,714
20/05/22 20:53:01,%RH,73,201
20/05/22 21:53:01,%RH,79,837
20/05/22 22:53:01,%RH,80,404
20/05/22 23:53:01,%RH,79,125
21/05/22 0:53:01,%RH,74,661
21/05/22 1:53:01,%RH,72,174
21/05/22 2:53:01,%RH,72,468
21/05/22 3:53:01,%RH,75,242
21/05/22 4:53:01,%RH,68,166
21/05/22 5:53:01,%RH,71,141
21/05/22 6:53:01,%RH,68,615
21/05/22 7:53:01,%RH,72,615
21/05/22 8:53:01,%RH,73,348
21/05/22 9:53:01,%RH,69,361
21/05/22 10:53:01,%RH,63,631
21/05/22 11:53:01,%RH,59,941
21/05/22 12:53:01,%RH,57,763
21/05/22 13:53:01,%RH,56,667
21/05/22 14:53:01,%RH,66,513
21/05/22 15:53:01,%RH,63,936
21/05/22 16:53:01,%RH,72,27
21/05/22 17:53:01,%RH,72,615
21/05/22 18:53:01,%RH,95,274
21/05/22 19:53:01,%RH,97,62
21/05/22 20:53:01,%RH,99,935
21/05/22 21:53:01,%RH,100,445
21/05/22 22:53:01,%RH,100,826
