Date/Time,Unit,Value,
12/5/2022 6:48,%RH,88,781
12/5/2022 7:48,%RH,86,797
12/5/2022 8:48,%RH,78,563
12/5/2022 9:48,%RH,71,657
12/5/2022 10:48,%RH,62,121
12/5/2022 11:48,%RH,46,751
12/5/2022 12:48,%RH,59,321
12/5/2022 13:48,%RH,58,279
12/5/2022 14:48,%RH,56,177
12/5/2022 15:48,%RH,48,64
12/5/2022 16:48,%RH,38,206
12/5/2022 17:48,%RH,42,922
12/5/2022 18:48,%RH,46,751
12/5/2022 19:48,%RH,49,889
12/5/2022 20:48,%RH,58,428
12/5/2022 21:48,%RH,63,868
12/5/2022 22:48,%RH,65,741
12/5/2022 23:48,%RH,72,72
13/05/22 0:48:01,%RH,75,891
13/05/22 1:48:01,%RH,76,295
13/05/22 2:48:01,%RH,74,538
13/05/22 3:48:01,%RH,74,945
13/05/22 4:48:01,%RH,78,165
13/05/22 5:48:01,%RH,75,81
13/05/22 6:48:01,%RH,76,26
13/05/22 7:48:01,%RH,73,857
13/05/22 8:48:01,%RH,65,167
13/05/22 9:48:01,%RH,55,875
13/05/22 10:48:01,%RH,47,54
13/05/22 11:48:01,%RH,39,844
13/05/22 12:48:01,%RH,48,953
13/05/22 13:48:01,%RH,47,67
13/05/22 14:48:01,%RH,40,983
13/05/22 15:48:01,%RH,38,863
13/05/22 16:48:01,%RH,36,888
13/05/22 17:48:01,%RH,33,559
13/05/22 18:48:01,%RH,34,896
13/05/22 19:48:01,%RH,37,383
13/05/22 20:48:01,%RH,42,278
13/05/22 21:48:01,%RH,30,353
13/05/22 22:48:01,%RH,29,503
13/05/22 23:48:01,%RH,32,214
14/05/22 0:48:01,%RH,43,405
14/05/22 1:48:01,%RH,52,59
14/05/22 2:48:01,%RH,57,381
14/05/22 3:48:01,%RH,60,505
14/05/22 4:48:01,%RH,60,947
14/05/22 5:48:01,%RH,63,433
14/05/22 6:48:01,%RH,89,27
14/05/22 7:48:01,%RH,86,547
14/05/22 8:48:01,%RH,85,542
14/05/22 9:48:01,%RH,91,82
14/05/22 10:48:01,%RH,91,58
14/05/22 11:48:01,%RH,80,797
14/05/22 12:48:01,%RH,73,72
14/05/22 13:48:01,%RH,66,599
14/05/22 14:48:01,%RH,61,975
14/05/22 15:48:01,%RH,59,766
14/05/22 16:48:01,%RH,52,52
