Date/Time,Unit,Value,
12/5/2022 6:52,C,12,336
12/5/2022 7:52,C,14,341
12/5/2022 8:52,C,20,852
12/5/2022 9:52,C,20,852
12/5/2022 10:52,C,25,354
12/5/2022 11:52,C,29,851
12/5/2022 12:52,C,28,352
12/5/2022 13:52,C,32,722
12/5/2022 14:52,C,35,529
12/5/2022 15:52,C,37,461
12/5/2022 16:52,C,37,399
12/5/2022 17:52,C,25,916
12/5/2022 18:52,C,23,729
12/5/2022 19:52,C,20,977
12/5/2022 20:52,C,17,41
12/5/2022 21:52,C,17,472
12/5/2022 22:52,C,15,218
12/5/2022 23:52,C,15,343
13/05/22 0:52:01,C,15,281
13/05/22 1:52:01,C,14,78
13/05/22 2:52:01,C,14,153
13/05/22 3:52:01,C,12,963
13/05/22 4:52:01,C,13,151
13/05/22 5:52:01,C,12,837
13/05/22 6:52:01,C,13,151
13/05/22 7:52:01,C,17,848
13/05/22 8:52:01,C,21,665
13/05/22 9:52:01,C,25,416
13/05/22 10:52:01,C,31,37
13/05/22 11:52:01,C,35,404
13/05/22 12:52:01,C,33,845
13/05/22 13:52:01,C,35,84
13/05/22 14:52:01,C,37,835
13/05/22 15:52:01,C,36,9
13/05/22 16:52:01,C,39,268
13/05/22 17:52:01,C,28,727
13/05/22 18:52:01,C,27,103
13/05/22 19:52:01,C,24,604
13/05/22 20:52:01,C,21,39
13/05/22 21:52:01,C,20,351
13/05/22 22:52:01,C,19,976
13/05/22 23:52:01,C,19,35
14/05/22 0:52:01,C,19,225
14/05/22 1:52:01,C,18,224
14/05/22 2:52:01,C,17,285
14/05/22 3:52:01,C,17,41
14/05/22 4:52:01,C,17,472
14/05/22 5:52:01,C,17,535
14/05/22 6:52:01,C,14,529
14/05/22 7:52:01,C,13,965
14/05/22 8:52:01,C,14,842
14/05/22 9:52:01,C,14,529
14/05/22 10:52:01,C,15,531
14/05/22 11:52:01,C,23,416
14/05/22 12:52:01,C,29,664
14/05/22 13:52:01,C,32,535
14/05/22 14:52:01,C,38,22
14/05/22 15:52:01,C,39,206
14/05/22 16:52:01,C,37,212
14/05/22 17:52:01,C,27,915
14/05/22 18:52:01,C,23,103
14/05/22 19:52:01,C,20,914
14/05/22 20:52:01,C,17,911
14/05/22 21:52:01,C,17,598
14/05/22 22:52:01,C,17,285
14/05/22 23:52:01,C,17,97
15/05/22 0:52:01,C,16,721
15/05/22 1:52:01,C,15,844
15/05/22 2:52:01,C,15,155
15/05/22 3:52:01,C,15,406
15/05/22 4:52:01,C,15,406
15/05/22 5:52:01,C,14,842
15/05/22 6:52:01,C,14,905
15/05/22 7:52:01,C,15,97
15/05/22 8:52:01,C,15,531
15/05/22 9:52:01,C,20,914
15/05/22 10:52:01,C,23,416
15/05/22 11:52:01,C,24,916
15/05/22 12:52:01,C,27,478
15/05/22 13:52:01,C,25,541
15/05/22 14:52:01,C,24,541
15/05/22 15:52:01,C,25,229
15/05/22 16:52:01,C,25,729
15/05/22 17:52:01,C,20,852
15/05/22 18:52:01,C,19,663
15/05/22 19:52:01,C,17,598
15/05/22 20:52:01,C,16,408
15/05/22 21:52:01,C,15,844
15/05/22 22:52:01,C,15,531
15/05/22 23:52:01,C,15,719
16/05/22 0:52:01,C,15,531
16/05/22 1:52:01,C,15,531
16/05/22 2:52:01,C,15,218
16/05/22 3:52:01,C,15,155
16/05/22 4:52:01,C,14,78
16/05/22 5:52:01,C,15,93
16/05/22 6:52:01,C,15,3
16/05/22 7:52:01,C,15,218
16/05/22 8:52:01,C,17,785
