,code,model,AIC,topt,rmax,breadth
87,TLCRP017,thomas1,347.1123348,38.24882346,1.114430593,25.495
88,TLCRP017,weibull,346.156452,38.21882346,1.145294041,22.613
89,TLCRP018,gaussian,403.8887386,37.60754992,1.279713609,16.385
90,TLCRP018,joehnk,418.5334058,49.38354992,1.190293234,18.246
91,TLCRP018,modifiedgaussian,395.9491943,38.29754992,2.147518165,3.126
92,TLCRP018,quadratic,405.7243149,36.96954992,1.213768579,19.55
93,TLCRP018,sharpeschoolhigh,402.9361196,39.04454992,1.363797257,13.195
94,TLCRP018,spain,405.1523411,40.94654992,1.276887105,16.126
95,TLCRP018,thomas1,404.7840715,40.10354992,1.27951744,16.446
96,TLCRP018,weibull,403.8295793,39.19354992,1.324356558,14.695
97,TLCRP021,gaussian,281.9331499,36.09692179,1.245164222,12.789
98,TLCRP021,joehnk,259.7652203,32.99792179,1.728752294,4.769
99,TLCRP021,modifiedgaussian,244.6982513,31.04392179,2.762114264,1.985
100,TLCRP021,quadratic,282.0208234,36.09692179,1.275341944,11.987
101,TLCRP021,sharpeschoolhigh,265.3299017,33.52292179,1.606199586,6.043
102,TLCRP021,spain,267.081847,32.91192179,1.522643327,7.178
103,TLCRP021,thomas1,281.772009,30.86792179,1.31742692,11.625
104,TLCRP021,weibull,283.1440559,32.59192179,1.246437486,12.839
105,TLCRP022,gaussian,254.5817275,35.63408859,1.233401893,9.931
106,TLCRP022,joehnk,214.1030263,33.85408859,2.187963573,2.718
107,TLCRP022,modifiedgaussian,202.9892714,32.83708859,3.736927136,1.978
108,TLCRP022,quadratic,250.8156327,35.63408859,1.590247064,3.234
109,TLCRP022,sharpeschoolhigh,233.4115205,33.47808859,1.763715901,3.919
110,TLCRP022,spain,232.8338645,33.76008859,1.766586434,4.31
111,TLCRP022,thomas1,254.6533169,35.63408859,1.402900684,5.816
112,TLCRP022,weibull,255.0828447,35.63408859,1.30932448,8.178
113,TLCRP023,gaussian,80.77289158,27.16457665,0.669577464,14.381
114,TLCRP023,joehnk,67.60395029,29.43757665,0.872669007,5.395
115,TLCRP023,modifiedgaussian,72.44321835,28.00657665,1.742814388,3.625
116,TLCRP023,quadratic,81.35318465,27.56157665,0.65670352,15.32
117,TLCRP023,sharpeschoolhigh,68.73913265,29.50857665,0.823650314,7.371
118,TLCRP023,spain,68.77486036,29.62657665,0.81338772,7.805
119,TLCRP023,thomas1,78.87133823,26.87957665,0.751035715,10.559
120,TLCRP023,weibull,81.00021656,26.64757665,0.708068209,12.822
121,TLCRP024,gaussian,214.0687606,31.72262821,1.589121065,4.965
122,TLCRP024,joehnk,222.6242145,33.51762821,1.356228262,6.438
123,TLCRP024,modifiedgaussian,193.9098195,31.72162821,2.510550043,1.759
124,TLCRP024,quadratic,255.6945788,34.44162821,0.958631216,13.213
125,TLCRP024,sharpeschoolhigh,205.8344269,32.57362821,1.681716293,4.153
126,TLCRP024,spain,220.6239363,33.49862821,1.356415811,6.443
127,TLCRP024,thomas1,220.167763,33.36662821,1.364014485,6.454
128,TLCRP024,weibull,209.0801835,32.46262821,1.60338006,4.846
129,TLCRP025,gaussian,223.9511634,34.46301044,1.625706751,6.239
130,TLCRP025,joehnk,225.2171818,36.50201044,1.571566674,6.028
131,TLCRP025,modifiedgaussian,215.7679218,34.76601044,2.027662815,2.016
132,TLCRP025,quadratic,258.9475821,40.44001044,1.486042836,4.821
133,TLCRP025,sharpeschoolhigh,218.7390787,35.08501044,1.682842247,5.348
134,TLCRP025,spain,226.4078283,36.21001044,1.552505402,6.485
135,TLCRP025,thomas1,226.5049688,36.17701044,1.553465921,6.493
136,TLCRP025,weibull,221.2498631,35.24501044,1.638915222,5.962
