"","code","weight","model","AIC","topt","rmax","breadth"
"1","TLCRP005",61.7,"gaussian",1446.41735193438,35.9042757866446,152.088460888139,4.5
"2","TLCRP005",61.7,"joehnk",1446.36589635398,37.4242757866446,141.70092167642,4.96000000000001
"3","TLCRP005",61.7,"modifiedgaussian",1432.76411206495,37.6012757866446,599.362733334805,0.146999999999998
"4","TLCRP005",61.7,"quadratic",1503.83528825994,41.0752757866446,121.982755926842,4.48
"5","TLCRP005",61.7,"sharpeschoolhigh",1407.71933392393,37.4392757866446,190.11737362265,2.44
"6","TLCRP005",61.7,"spain",1445.0810254162,37.3342757866446,141.243133229872,5.07300000000001
"7","TLCRP005",61.7,"thomas1",1494.12051410019,36.8252757866446,103.618933464201,10.022
"8","TLCRP005",61.7,"weibull",1430.90040529536,36.5422757866446,162.481319558366,3.889
"9","TLCRP006",98.5,"gaussian",1186.13068274497,35.5706081655951,200.477534968461,2.026
"10","TLCRP006",98.5,"joehnk",1156.65492832102,34.9246081655951,243.653871630362,1.364
"11","TLCRP006",98.5,"modifiedgaussian",1143.87561023599,34.3846081655951,363.621169019845,1.54199999999999
"12","TLCRP006",98.5,"quadratic",1163.49283377012,35.5706081655951,193.205714315731,2.024
"13","TLCRP006",98.5,"sharpeschoolhigh",1180.24106315656,34.9106081655951,223.879133265306,1.605
"14","TLCRP006",98.5,"spain",1161.7406838657,35.5706081655951,235.838164771166,1.509
"15","TLCRP006",98.5,"thomas1",1220.12722082865,35.5706081655951,131.409088905618,3.58900000000001
"16","TLCRP006",98.5,"weibull",1185.39520339299,35.5706081655951,209.662774704476,1.794
"17","TLCRP007",81.1,"gaussian",1620.11505898097,40.330024181976,121.851117358283,8.106
"18","TLCRP007",81.1,"joehnk",1586.60360755463,36.966024181976,148.005233088568,5.157
"19","TLCRP007",81.1,"modifiedgaussian",1580.47423461496,37.047024181976,319.11758174598,1.921
"20","TLCRP007",81.1,"quadratic",1622.81842476936,40.330024181976,140.239097087472,4.676
"21","TLCRP007",81.1,"sharpeschoolhigh",1584.3553275178,37.270024181976,159.437180352372,4.073
"22","TLCRP007",81.1,"spain",1592.97839297048,37.127024181976,140.996360611494,5.748
"23","TLCRP007",81.1,"thomas1",1621.64989183963,39.407024181976,118.774366692561,8.38
"24","TLCRP007",81.1,"weibull",1609.62635831391,36.012024181976,132.306023141533,7.348
"25","TLCRP008",78.4,"gaussian",1182.12180720942,32.7692142744427,170.447976377631,4.216
"26","TLCRP008",78.4,"joehnk",1161.37241276521,31.8352142744427,213.381584493205,2.208
"27","TLCRP008",78.4,"modifiedgaussian",1150.55856885425,31.1632142744427,470.414078526836,1.786
"28","TLCRP008",78.4,"quadratic",1171.78317543934,32.7692142744427,197.848962113022,2.171
"29","TLCRP008",78.4,"sharpeschoolhigh",1165.03812074012,31.6752142744427,198.060501865127,2.679
"30","TLCRP008",78.4,"spain",1165.45910840958,31.6342142744427,194.242911077412,2.947
"31","TLCRP008",78.4,"thomas1",1178.06476994307,32.7692142744427,185.901527130231,2.549
"32","TLCRP008",78.4,"weibull",1175.72856164347,32.7692142744427,178.547835470139,3.538
"33","TLCRP009",98.4,"gaussian",1145.68398754919,32.7890581435477,125.341870576192,12.051
"34","TLCRP009",98.4,"joehnk",1138.58248873372,34.4950581435477,148.365917112354,6.245
"35","TLCRP009",98.4,"modifiedgaussian",1144.17492193723,34.6720581435477,167.020893380099,5.554
"36","TLCRP009",98.4,"quadratic",1147.12131083829,35.4690581435477,123.932336538697,12.338
"37","TLCRP009",98.4,"sharpeschoolhigh",1133.22789571161,34.7960581435477,152.903957323386,6.032
"38","TLCRP009",98.4,"spain",1136.67363272733,34.4740581435477,146.563524734479,6.682
"39","TLCRP009",98.4,"thomas1",1145.23970059064,32.4030581435477,130.473211735759,10.747
"40","TLCRP009",98.4,"weibull",1146.24580563838,32.3050581435477,129.62537408923,11.27
"41","TLCRP012",102.2,"gaussian",1409.3408545933,40.2438289612628,125.173477558773,8.572
"42","TLCRP012",102.2,"joehnk",1413.41478578165,40.2438289612628,128.646042593683,7.59
"43","TLCRP012",102.2,"modifiedgaussian",1402.51790760202,37.5588289612628,188.47016321716,3.029
"44","TLCRP012",102.2,"quadratic",1410.79112150471,40.2438289612628,133.316407261834,6.487
"45","TLCRP012",102.2,"sharpeschoolhigh",1407.92135320813,37.7748289612628,139.686427547584,5.891
"46","TLCRP012",102.2,"spain",1408.42264342932,37.8948289612628,138.437502090358,6.175
"47","TLCRP012",102.2,"thomas1",1410.86799817746,38.0098289612628,122.721228294975,9.141
"48","TLCRP012",102.2,"weibull",1410.52552709428,37.3958289612628,124.036259473554,9.012
"49","TLCRP013",108.3,"gaussian",1360.5546692228,36.2593470752784,185.239618706901,6.787
"50","TLCRP013",108.3,"joehnk",1355.52081850373,34.7853470752784,207.192738001884,4.38
"51","TLCRP013",108.3,"modifiedgaussian",1342.50392251963,32.7603470752784,243.399590386483,2.628
"52","TLCRP013",108.3,"quadratic",1365.56086645478,36.2593470752784,202.107435701551,4.571
"53","TLCRP013",108.3,"sharpeschoolhigh",1336.56753129511,33.7633470752784,222.599863567914,3.97
"54","TLCRP013",108.3,"spain",1339.64378525783,33.6543470752784,211.982480606199,4.786
"55","TLCRP013",108.3,"thomas1",1360.22885170531,33.9943470752784,178.54681845789,7.729
"56","TLCRP013",108.3,"weibull",1353.60352590917,32.9013470752784,190.958796051055,7.093
"57","TLCRP014",51.1,"gaussian",1112.68058000013,32.6797126575444,80.9376949167803,7.94
"58","TLCRP014",51.1,"joehnk",1086.751522346,34.2167126575444,95.5843532655475,4.867
"59","TLCRP014",51.1,"modifiedgaussian",1097.90726833166,34.1517126575444,137.971515035596,1.617
"60","TLCRP014",51.1,"quadratic",1127.23504285754,37.5897126575444,76.6601249892612,7.101
"61","TLCRP014",51.1,"sharpeschoolhigh",1082.90094023405,34.4157126575444,101.198042680772,3.828
"62","TLCRP014",51.1,"spain",1087.44268973042,34.2707126575444,93.4795144347929,5.152
"63","TLCRP014",51.1,"thomas1",1118.9548842964,33.1567126575444,73.9701308978519,9.73
"64","TLCRP014",51.1,"weibull",1099.08241168037,33.0937126575444,91.8335534205667,5.628
"65","TLCRP015",53.6,"gaussian",1423.14296479673,40.7888661085389,97.825782996497,9.02
"66","TLCRP015",53.6,"joehnk",1408.25343646497,37.9208661085389,132.777855832325,4.401
"67","TLCRP015",53.6,"modifiedgaussian",1355.47481874923,37.2638661085389,306.085067128807,1.825
