,code,model,AIC,topt,rmax,breadth,tfmin,tfmax
65,TLCRP016,beta,782.4582095,37.29171677,1.002453427,13.418,27.51271677,40.93071677
70,TLCRP016,weibull,797.5677504,36.27771677,0.981721693,13.692,27.74971677,41.44171677
64,TLCRP016,gaussian,817.7433531,37.63371677,0.869746782,16.285,25.15671677,41.44171677
67,TLCRP016,quadratic,828.4964281,41.44171677,0.910513569,17.144,24.29771677,41.44171677
75,TLCRP021,sharpeschoolhigh,729.6672868,33.34811279,0.964256534,11.332,23.62511279,34.95711279
73,TLCRP021,rezende,730.9592774,32.72011279,0.953476185,11.568,23.59511279,35.16311279
76,TLCRP021,spain,737.6260216,32.86711279,0.899218678,12.624,22.74611279,35.37011279
72,TLCRP021,beta,762.9239508,32.58811279,0.827373049,14.357,21.52211279,35.87911279
77,TLCRP021,weibull,785.2351062,33.94311279,0.75956027,16.356,19.75111279,36.10711279
74,TLCRP021,quadratic,786.6843684,36.10711279,0.861850716,15.293,20.81411279,36.10711279
71,TLCRP021,gaussian,789.4840959,36.10711279,0.743162762,17.553,18.55411279,36.10711279
80,TLCRP022,rezende,664.7783126,33.32208859,0.920228731,9.268,25.73008859,34.99808859
82,TLCRP022,sharpeschoolhigh,666.7027901,33.37808859,0.907982214,9.278,25.55508859,34.83308859
81,TLCRP022,quadratic,667.6110642,35.63408859,1.094647205,6.282,29.35208859,35.63408859
83,TLCRP022,spain,669.504601,33.63908859,0.880610235,10.098,25.17308859,35.27108859
79,TLCRP022,beta,685.3785431,35.63408859,1.048511427,7.327,28.30708859,35.63408859
84,TLCRP022,weibull,698.8734747,35.63408859,0.773530827,12.783,22.85108859,35.63408859
78,TLCRP022,gaussian,705.8866994,35.63408859,0.700282379,15.082,20.55208859,35.63408859
87,TLCRP023,rezende,-46.33200446,29.62657665,0.457535955,17.064,15.18057665,32.24457665
89,TLCRP023,sharpeschoolhigh,-44.89022351,29.55157665,0.449924289,17,15.18057665,32.18057665
90,TLCRP023,spain,-43.20581499,29.42457665,0.436611027,18.003,14.40257665,32.40557665
86,TLCRP023,beta,-33.02806812,28.87757665,0.412888252,18.651,14.21657665,32.86757665
91,TLCRP023,weibull,-23.10713203,28.36157665,0.392354266,19.383,13.65557665,33.03857665
85,TLCRP023,gaussian,-21.81204941,31.76057665,0.389088778,20.6,12.43857665,33.03857665
88,TLCRP023,quadratic,-20.16493614,33.03857665,0.408064263,20.6,12.43857665,33.03857665
96,TLCRP024,sharpeschoolhigh,485.5653299,33.02362821,0.747500278,7.91,27.91462821,35.82462821
98,TLCRP024,weibull,494.8812607,32.80062821,0.718563084,8.39,27.78762821,36.17762821
94,TLCRP024,rezende,496.179653,33.38962821,0.655522261,10.141,26.57562821,36.71662821
97,TLCRP024,spain,503.8486817,33.50162821,0.635544705,10.696,26.15562821,36.85162821
92,TLCRP024,gaussian,508.3621247,32.25662821,0.703041923,8.63,27.94162821,36.57162821
93,TLCRP024,beta,512.5835178,32.25362821,0.702299062,8.644,27.93162821,36.57562821
95,TLCRP024,quadratic,553.8643547,38.61762821,0.586389916,14.896,23.72162821,38.61762821
103,TLCRP025,sharpeschoolhigh,477.744211,35.60818823,1.022879633,8.751,30.51518823,39.26618823
105,TLCRP025,weibull,484.0456074,35.73118823,0.998748923,9.052,30.32418823,39.37618823
101,TLCRP025,rezende,489.2678597,36.28718823,0.947946836,9.909,29.74218823,39.65118823
100,TLCRP025,beta,490.3874096,35.67518823,0.992382139,9.12,30.30818823,39.42818823
99,TLCRP025,gaussian,493.4629069,35.09318823,0.985814448,9.398,30.39418823,39.79218823
104,TLCRP025,spain,499.4341947,36.51018823,0.938308359,10.162,29.53718823,39.69918823
102,TLCRP025,quadratic,587.1448679,40.44018823,0.921406227,11.634,28.80618823,40.44018823
